ZoneID,Population,UrgencyScore,DistanceKM,SupplyRequired,AccessWindowStart,AccessWindowEnd
Z0,11187,0.754,164.68,35,2025-01-04T17:00:00,2025-01-06T05:00:00
Z1,24019,0.994,335.13,69,2025-01-02T03:00:00,2025-01-04T04:00:00
Z2,28358,0.447,169.07,93,2025-01-17T03:00:00,2025-01-19T08:00:00
Z3,45669,0.923,23.75,194,2025-01-01T08:00:00,2025-01-04T01:00:00
Z4,38885,0.577,203.82,156,2025-01-14T21:00:00,2025-01-17T07:00:00
Z5,21674,0.873,319.18,172,2025-01-20T20:00:00,2025-01-21T09:00:00
Z6,38106,0.757,263.15,7,2025-01-17T07:00:00,2025-01-18T10:00:00
Z7,48394,0.911,365.69,103,2025-01-08T07:00:00,2025-01-11T07:00:00
Z8,32976,0.555,116.69,170,2025-01-14T05:00:00,2025-01-16T06:00:00
Z9,13115,0.946,26.08,144,2025-01-09T01:00:00,2025-01-11T22:00:00
Z10,28550,0.133,44.03,91,2025-01-09T23:00:00,2025-01-11T14:00:00
Z11,39738,0.536,194.54,88,2025-01-05T14:00:00,2025-01-05T16:00:00
Z12,24886,0.408,116.33,158,2025-01-17T15:00:00,2025-01-19T18:00:00
Z13,7561,0.41,458.71,132,2025-01-09T07:00:00,2025-01-10T06:00:00
Z14,5846,0.637,412.91,57,2025-01-14T18:00:00,2025-01-16T00:00:00
Z15,26857,0.462,419.81,18,2025-01-01T06:00:00,2025-01-02T17:00:00
Z16,13899,0.106,113.19,107,2025-01-04T05:00:00,2025-01-07T04:00:00
Z17,45968,0.621,306.98,114,2025-01-15T13:00:00,2025-01-17T19:00:00
Z18,20871,0.987,33.19,177,2025-01-09T21:00:00,2025-01-12T14:00:00
Z19,15097,0.522,382.49,80,2025-01-12T21:00:00,2025-01-13T23:00:00
Z20,14211,0.153,431.83,144,2025-01-10T21:00:00,2025-01-12T15:00:00
Z21,26981,0.279,272.04,118,2025-01-11T14:00:00,2025-01-12T23:00:00
Z22,14688,0.123,435.35,84,2025-01-16T02:00:00,2025-01-18T04:00:00
Z23,46778,0.93,259.59,119,2025-01-09T06:00:00,2025-01-09T19:00:00
Z24,30989,0.667,180.5,99,2025-01-05T01:00:00,2025-01-08T01:00:00
Z25,9237,0.352,410.57,44,2025-01-20T17:00:00,2025-01-22T13:00:00
Z26,629,0.75,340.05,66,2025-01-17T21:00:00,2025-01-18T03:00:00
Z27,12982,0.623,192.75,195,2025-01-09T03:00:00,2025-01-10T05:00:00
Z28,8821,0.89,219.24,177,2025-01-19T11:00:00,2025-01-21T03:00:00
Z29,3820,0.263,169.03,49,2025-01-05T07:00:00,2025-01-06T15:00:00
Z30,3153,0.265,156.53,129,2025-01-17T13:00:00,2025-01-20T02:00:00
Z31,34436,0.304,214.21,4,2025-01-14T14:00:00,2025-01-16T06:00:00
Z32,5783,0.457,104.37,194,2025-01-20T21:00:00,2025-01-22T08:00:00
Z33,10603,0.575,498.1,41,2025-01-18T20:00:00,2025-01-20T21:00:00
Z34,45517,0.364,36.67,110,2025-01-10T14:00:00,2025-01-12T05:00:00
Z35,17721,0.746,193.26,99,2025-01-06T13:00:00,2025-01-07T01:00:00
Z36,8174,0.286,333.87,67,2025-01-05T02:00:00,2025-01-06T05:00:00
Z37,40143,0.469,101.19,200,2025-01-20T22:00:00,2025-01-22T06:00:00
Z38,4909,0.213,352.18,156,2025-01-21T15:00:00,2025-01-23T15:00:00
Z39,43098,0.838,484.79,32,2025-01-19T15:00:00,2025-01-20T00:00:00
Z40,11614,0.486,70.73,57,2025-01-17T13:00:00,2025-01-19T18:00:00
Z41,29444,0.935,329.16,50,2025-01-04T23:00:00,2025-01-05T11:00:00
Z42,49939,0.499,247.94,134,2025-01-15T15:00:00,2025-01-15T16:00:00
